Kudos Date,Kudos Type,Parent ID
"8 Jun 2018, 17:02:40",Activity,1624702418
"8 Jun 2018, 17:02:42",Activity,1625168906
"8 Jun 2018, 21:23:21",Activity,1625716561
"8 Jun 2018, 21:23:35",Activity,1625713824
"8 Jun 2018, 21:23:41",Activity,1625711654
"12 Jun 2018, 05:23:36",Activity,1629247641
"12 Jun 2018, 05:23:39",Activity,1630223742
"12 Jun 2018, 19:35:44",Activity,1634364131
"12 Jun 2018, 19:35:44",Activity,1634354958
"17 Jun 2018, 11:59:26",Activity,1643812401
"17 Jun 2018, 11:59:27",Activity,1643880483
"17 Jun 2018, 21:07:56",Activity,1644142149
"17 Jun 2018, 21:08:15",Activity,1644965353
"20 Jun 2018, 09:26:05",Activity,1649022273
"20 Jun 2018, 09:26:06",Activity,1649004516
"25 Jun 2018, 20:20:55",Activity,1661779978
"27 Jun 2018, 18:10:44",Activity,1665437947
"28 Jun 2018, 05:11:35",Activity,1666062733
"1 Jul 2018, 16:51:59",Activity,1673625219
"1 Jul 2018, 16:52:03",Activity,1670617840
"6 Jul 2018, 21:21:00",Activity,1682648284
"6 Jul 2018, 21:21:03",Activity,1680125949
"6 Jul 2018, 21:21:04",Activity,1678277678
"6 Jul 2018, 21:21:11",Activity,1680233681
"9 Jul 2018, 12:00:10",Activity,1689630310
"9 Jul 2018, 12:01:40",Activity,1686439883
"9 Jul 2018, 12:02:02",Activity,1687263146
"13 Jul 2018, 10:47:15",Activity,1697536437
"13 Jul 2018, 10:47:16",Activity,1697023978
"15 Jul 2018, 22:16:46",Activity,1702422104
"15 Jul 2018, 22:17:57",Activity,1704873383
"15 Jul 2018, 22:18:12",Activity,1704515671
"15 Jul 2018, 22:18:16",Activity,1703665712
"15 Jul 2018, 22:18:18",Activity,1703655578
"17 Jul 2018, 16:41:15",Activity,1708686203
"19 Jul 2018, 09:06:14",Activity,1710757587
"19 Jul 2018, 09:06:18",Activity,1709022087
"21 Jul 2018, 12:55:46",Activity,1717089953
"23 Jul 2018, 13:05:45",Activity,1720480957
"24 Jul 2018, 08:35:31",Activity,1722247270
"26 Jul 2018, 16:17:26",Activity,1728653326
"26 Jul 2018, 16:17:30",Activity,1728914037
"26 Jul 2018, 16:17:33",Activity,1726674510
"26 Jul 2018, 16:17:35",Activity,1726671429
"26 Jul 2018, 16:17:37",Activity,1724921234
"26 Jul 2018, 16:17:39",Activity,1725812231
"28 Jul 2018, 19:20:05",Activity,1732552356
"28 Jul 2018, 19:20:06",Activity,1732943604
"28 Jul 2018, 19:20:17",Activity,1732995534
"29 Jul 2018, 21:31:17",Activity,1736390184
"29 Jul 2018, 21:31:33",Activity,1734987382
"5 Aug 2018, 12:31:18",Activity,1751272926
"5 Aug 2018, 12:31:31",Activity,1749039214
"5 Aug 2018, 12:31:44",Activity,1740732978
"6 Aug 2018, 08:17:18",Activity,1753199541
"6 Aug 2018, 08:17:23",Activity,1751359372
"9 Aug 2018, 17:49:44",Activity,1760232877
"9 Aug 2018, 17:49:47",Activity,1756838522
"9 Aug 2018, 17:50:04",Activity,1757669852
"9 Aug 2018, 17:50:09",Activity,1758570798
"9 Aug 2018, 17:50:54",Activity,1760426904
"9 Aug 2018, 17:50:57",Activity,1758670907
"9 Aug 2018, 17:50:58",Activity,1756566033
"9 Aug 2018, 17:51:02",Activity,1760616932
"11 Aug 2018, 13:06:04",Activity,1764262583
"11 Aug 2018, 13:06:05",Activity,1764256093
"11 Aug 2018, 13:06:11",Activity,1764325625
"11 Aug 2018, 13:06:13",Activity,1761298036
"11 Aug 2018, 13:06:15",Activity,1762754827
"11 Aug 2018, 15:32:30",Activity,1764823975
"16 Aug 2018, 15:52:33",Activity,1774203675
"16 Aug 2018, 15:52:35",Activity,1773196097
"16 Aug 2018, 15:52:37",Activity,1768721410
"18 Aug 2018, 06:46:56",Activity,1779334796
"18 Aug 2018, 20:12:07",Activity,1781060938
"18 Aug 2018, 20:12:37",Activity,1781043649
"18 Aug 2018, 20:12:40",Activity,1780973624
"18 Aug 2018, 20:12:45",Activity,1780787327
"18 Aug 2018, 21:02:08",Activity,1780737360
"18 Aug 2018, 21:05:15",Activity,1780831412
"19 Aug 2018, 15:29:33",Activity,1782693458
"20 Aug 2018, 09:52:50",Activity,1784607266
"20 Aug 2018, 09:53:05",Activity,1783334824
"21 Aug 2018, 16:13:47",Activity,1787416738
"21 Aug 2018, 16:13:53",Activity,1787568805
"21 Aug 2018, 16:13:57",Activity,1786779926
"21 Aug 2018, 16:13:59",Activity,1787405156
